Index,Name,Description,Brand,Category,Subcategory,Price,Currency,Discount_Pct,Final_Price,Tax_Rate,Stock,EAN,SKU,Internal_ID,Color,Size,Material,Weight_kg,Length_cm,Width_cm,Height_cm,Rating,Review_Count,Availability,Supplier,Country_of_Origin,Warranty_Months,Tags,Image_URL,Created_At,Updated_At
14,Crompton Dash Cams Navy S,Threat travel spring not sort minute daughter finish performance never media.,Crompton,Automotive,Dash Cams,9845.02,INR,60,3938.01,12,526,4868612009073,CRO-AUT-000014,PROD-B2F14AE8,Navy,S,Cotton,4.3,102.8,63.9,20.6,3.4,19829,In Stock,"White, Khan and Perry",South Korea,36,Automotive|Dash Cams|Crompton|Navy|Cotton,https://cdn.example.com/products/prod-b2f14ae8.jpg,2023-06-24 14:41:00,2024-03-25 14:41:00
15,Acer Textbooks Beige 42,Building already him across girl option hit while exactly sense tax.,Acer,Books & Stationery,Textbooks,60297.9,INR,15,51253.21,28,2462,1513805091979,ACE-BOO-000015,PROD-225D3D68,Beige,42,Glass,27.49,49.9,29.5,65.7,3.0,2839,Out of Stock,"Gross, Shaw and Gilmore",Japan,18,Books & Stationery|Textbooks|Acer|Beige|Glass,https://cdn.example.com/products/prod-225d3d68.jpg,2024-09-02 23:13:53,2024-09-22 23:13:53
16,Woodland Dash Cams Red 7,Mention stock account various west put should poor two response idea campaign hospital rate campaign daughter.,Woodland,Automotive,Dash Cams,17138.75,INR,15,14567.94,0,3802,1320440042644,WOO-AUT-000016,PROD-854A560A,Red,7,Aluminium,15.58,152.1,37.4,32.9,2.2,13311,Limited Stock,Rice-Fox,India,0,Automotive|Dash Cams|Woodland|Red|Aluminium,https://cdn.example.com/products/prod-854a560a.jpg,2024-05-15 23:03:20,2024-12-13 23:03:20
17,Canon Card Games Pink 30,Itself agree mention trip discussion bag political operation level strategy sort stuff game.,Canon,Toys & Games,Card Games,12399.6,INR,0,12399.6,18,2290,7541716595501,CAN-TOY-000017,PROD-709E5310,Pink,30,Ceramic,13.29,28.7,102.9,85.9,3.0,4712,Limited Stock,Lewis-Schmidt,South Korea,0,Toys & Games|Card Games|Canon|Pink|Ceramic,https://cdn.example.com/products/prod-709e5310.jpg,2022-07-28 04:02:53,2023-04-05 04:02:53
18,Acer Sneakers Cyan S,At bank hope ever night seek explain administration effort heart program seat.,Acer,Footwear,Sneakers,76968.25,INR,0,76968.25,28,1165,7624728475006,ACE-FOO-000018,PROD-6188A142,Cyan,S,Ceramic,18.62,126.5,97.1,19.7,2.5,7070,Pre-Order,"Smith, Brown and Jones",Taiwan,24,Footwear|Sneakers|Acer|Cyan|Ceramic,https://cdn.example.com/products/prod-6188a142.jpg,2022-10-10 08:48:14,2023-04-21 08:48:14
19,Havells Clutches Olive 11,Water sometimes food radio large perform lose government agreement fact design set thus draw movement.,Havells,Bags & Luggage,Clutches,35792.13,INR,0,35792.13,5,2478,6716040386564,HAV-BAG-000019,PROD-C1F8F653,Olive,11,Glass,28.91,2.4,113.4,33.3,2.7,17352,In Stock,Brooks-Lee,Bangladesh,24,Bags & Luggage|Clutches|Havells|Olive|Glass,https://cdn.example.com/products/prod-c1f8f653.jpg,2024-04-11 18:26:56,2024-06-11 18:26:56
20,Crompton Comics Cyan 42,Expert see who affect you all only sea lead spend.,Crompton,Books & Stationery,Comics,14146.58,INR,0,14146.58,12,4795,3352514682584,CRO-BOO-000020,PROD-DF47199A,Cyan,42,Plastic,3.93,166.6,70.2,93.3,1.5,12999,Discontinued,Villegas PLC,Japan,12,Books & Stationery|Comics|Crompton|Cyan|Plastic,https://cdn.example.com/products/prod-df47199a.jpg,2023-07-28 03:14:00,2023-10-10 03:14:00
21,Levi's Cameras Rose Gold 7,Just available skin large bad now so everything adult interesting.,Levi's,Electronics,Cameras,27401.77,INR,10,24661.59,12,4884,0991311464264,LEV-ELE-000021,PROD-F955697B,Rose Gold,7,Wool,14.5,10.4,34.8,60.4,4.0,3708,Out of Stock,"Gonzalez, Burke and Mueller",Bangladesh,12,Electronics|Cameras|Levi's|Rose Gold|Wool,https://cdn.example.com/products/prod-f955697b.jpg,2024-01-04 04:28:30,2024-08-09 04:28:30
22,Apple Video Games Purple 38,Clearly push option skin provide list put view vote.,Apple,Toys & Games,Video Games,11122.77,INR,40,6673.66,18,2665,0196070624236,APP-TOY-000022,PROD-D8941BD9,Purple,38,Metal,16.69,7.1,103.2,71.0,3.2,14346,Out of Stock,Campbell-Contreras,USA,36,Toys & Games|Video Games|Apple|Purple|Metal,https://cdn.example.com/products/prod-d8941bd9.jpg,2024-09-07 05:39:11,2024-10-05 05:39:11
23,Sony Shorts Red 11,Up whose executive in consumer around identify project nation real walk law statement always we admit loss.,Sony,Clothing,Shorts,97254.6,INR,15,82666.41,5,1781,9187264748136,SON-CLO-000023,PROD-5D6B4430,Red,11,Nylon,2.33,29.7,95.4,23.5,1.2,8355,Pre-Order,Johnson-Warren,USA,36,Clothing|Shorts|Sony|Red|Nylon,https://cdn.example.com/products/prod-5d6b4430.jpg,2022-06-16 20:16:50,2022-11-05 20:16:50
24,Titan Trolleys Green One Size,When administration fight in suggest safe top story concern chance trip scientist hundred large plan around suffer beat those into way computer.,Titan,Bags & Luggage,Trolleys,45546.23,INR,70,13663.87,0,2285,8433975741883,TIT-BAG-000024,PROD-4B68DC7B,Green,One Size,Nylon,20.26,125.9,35.8,20.1,1.3,13635,Discontinued,Jones-Martinez,China,6,Bags & Luggage|Trolleys|Titan|Green|Nylon,https://cdn.example.com/products/prod-4b68dc7b.jpg,2023-10-13 10:50:45,2024-01-09 10:50:45
25,Adidas Laptop Bags Brown 10,Quickly share first ready reflect serious stay writer development without hot experience billion.,Adidas,Bags & Luggage,Laptop Bags,3685.94,USD,0,3685.94,28,2306,1787209345468,ADI-BAG-000025,PROD-0FB49D1E,Brown,10,Plastic,11.56,72.5,123.9,22.5,3.6,23857,Pre-Order,"Saunders, Oliver and Banks",India,18,Bags & Luggage|Laptop Bags|Adidas|Brown|Plastic,https://cdn.example.com/products/prod-0fb49d1e.jpg,2022-03-17 18:11:27,2022-11-21 18:11:27
26,Asus Cameras Yellow 7,Activity away than choice seven natural present share why notice letter summer red land Republican set avoid.,Asus,Electronics,Cameras,30823.29,INR,60,12329.32,5,2611,1739068515377,ASU-ELE-000026,PROD-45846288,Yellow,7,Denim,14.93,62.4,143.5,20.4,4.5,8353,Out of Stock,Barrett and Sons,Japan,36,Electronics|Cameras|Asus|Yellow|Denim,https://cdn.example.com/products/prod-45846288.jpg,2023-11-13 08:10:56,2024-08-15 08:10:56
27,Canon Pens Yellow 7,Month pass skill six player difference ten doctor low show other ten.,Canon,Books & Stationery,Pens,90100.59,INR,0,90100.59,28,2438,4334912227412,CAN-BOO-000027,PROD-33B75F5C,Yellow,7,Silk,13.1,165.8,39.4,69.6,2.0,6219,In Stock,Duran PLC,Germany,36,Books & Stationery|Pens|Canon|Yellow|Silk,https://cdn.example.com/products/prod-33b75f5c.jpg,2023-05-29 16:51:38,2024-02-28 16:51:38
28,Whirlpool Baby Care Silver M,Event enjoy out unit within politics year popular season born course.,Whirlpool,Beauty & Health,Baby Care,41599.07,INR,0,41599.07,28,3151,1808741609044,WHI-BEA-000028,PROD-35A33B35,Silver,M,Stainless Steel,2.54,44.6,55.7,63.9,4.5,7401,Discontinued,"Lee, Johnson and Valencia",Italy,12,Beauty & Health|Baby Care|Whirlpool|Silver|Stainless Steel,https://cdn.example.com/products/prod-35a33b35.jpg,2024-04-27 06:49:59,2024-08-22 06:49:59
29,Wildcraft Haircare Navy L,Impact fast sing general if eye record whatever wife fact or ball result real after husband imagine say end design occur.,Wildcraft,Beauty & Health,Haircare,53267.66,INR,50,26633.83,28,1504,6266608697194,WIL-BEA-000029,PROD-CC3090EE,Navy,L,Nylon,5.02,196.1,21.4,9.8,4.6,15109,Out of Stock,"Gonzalez, Brock and Chapman",China,0,Beauty & Health|Haircare|Wildcraft|Navy|Nylon,https://cdn.example.com/products/prod-cc3090ee.jpg,2022-05-15 08:43:02,2023-02-12 08:43:02
30,Reebok Office Supplies Black 6,Red style weight stage better cultural strategy film different around top decision.,Reebok,Books & Stationery,Office Supplies,65981.66,INR,20,52785.33,12,1708,5183299067697,REE-BOO-000030,PROD-907CCFD6,Black,6,Nylon,23.25,31.3,56.1,98.7,2.5,5192,Out of Stock,"Hughes, Perry and Mann",Bangladesh,36,Books & Stationery|Office Supplies|Reebok|Black|Nylon,https://cdn.example.com/products/prod-907ccfd6.jpg,2022-02-12 04:08:39,2022-09-19 04:08:39
31,Decathlon Boxing Rose Gold 7,Second read down without city image involve.,Decathlon,Sports & Fitness,Boxing,78715.74,INR,30,55101.02,28,3465,7696980989188,DEC-SPO-000031,PROD-B72FECC0,Rose Gold,7,Aluminium,14.19,198.5,129.3,80.5,5.0,18884,Discontinued,Prince-Lopez,Bangladesh,36,Sports & Fitness|Boxing|Decathlon|Rose Gold|Aluminium,https://cdn.example.com/products/prod-b72fecc0.jpg,2024-12-02 16:34:53,2025-02-01 16:34:53
32,HP Educational Maroon 7,Theory look rate of view base around seat require sing arm good among face benefit attack police student.,HP,Toys & Games,Educational,82697.97,INR,20,66158.38,5,4043,1223468281845,HP-TOY-000032,PROD-7A52608D,Maroon,7,Cotton,29.85,184.6,61.6,86.8,2.0,14798,Discontinued,Parker-Williams,India,0,Toys & Games|Educational|HP|Maroon|Cotton,https://cdn.example.com/products/prod-7a52608d.jpg,2022-05-27 09:54:42,2022-10-10 09:54:42
33,Puma Ayurvedic Olive 42,Personal write it which enough suddenly argue industry news.,Puma,Beauty & Health,Ayurvedic,30296.54,INR,40,18177.92,12,4099,8405903574221,PUM-BEA-000033,PROD-FA58E2A4,Olive,42,Wood,27.25,41.6,149.6,56.7,3.4,14310,Discontinued,"Russell, Daniel and Medina",Japan,12,Beauty & Health|Ayurvedic|Puma|Olive|Wood,https://cdn.example.com/products/prod-fa58e2a4.jpg,2022-04-03 09:50:46,2023-01-02 09:50:46
34,Puma Baby Care Brown XL,Skill possible think security performance me argue stand real where program.,Puma,Beauty & Health,Baby Care,58633.29,INR,50,29316.65,28,2478,4837875818289,PUM-BEA-000034,PROD-1AC000FB,Brown,XL,Wool,23.52,124.5,44.9,72.5,1.8,3953,Limited Stock,"Massey, Ramirez and Rivera",Japan,12,Beauty & Health|Baby Care|Puma|Brown|Wool,https://cdn.example.com/products/prod-1ac000fb.jpg,2022-02-02 02:37:42,2023-01-09 02:37:42
35,Fossil Notebooks Green XXL,Guess ready student mention describe knowledge write my research theory former phone seat officer choice attorney same ten marriage radio PM.,Fossil,Books & Stationery,Notebooks,15328.18,INR,5,14561.77,0,2057,4558969123996,FOS-BOO-000035,PROD-3622923A,Green,XXL,Linen,28.07,132.1,95.5,6.1,2.1,13038,Discontinued,Salazar-Edwards,India,12,Books & Stationery|Notebooks|Fossil|Green|Linen,https://cdn.example.com/products/prod-3622923a.jpg,2023-02-06 15:36:44,2023-09-05 15:36:44
36,Asus Lighting Grey 40,See result camera fund usually white deal head head every especially.,Asus,Home & Kitchen,Lighting,16550.53,INR,10,14895.48,28,125,8740106762830,ASU-HOM-000036,PROD-9B29F031,Grey,40,Silk,25.29,193.8,19.1,3.0,3.9,16237,In Stock,"Smith, Johnson and Moore",Germany,6,Home & Kitchen|Lighting|Asus|Grey|Silk,https://cdn.example.com/products/prod-9b29f031.jpg,2024-02-02 15:49:38,2024-02-16 15:49:38
37,Fossil Cricket Gear Maroon 8,Enter state evening serve grow majority without beyond drop reduce.,Fossil,Sports & Fitness,Cricket Gear,63970.82,INR,0,63970.82,5,1565,3146818369896,FOS-SPO-000037,PROD-BFC121A2,Maroon,8,Plastic,22.91,98.5,107.3,85.3,3.3,4642,In Stock,Ortiz-Riley,South Korea,0,Sports & Fitness|Cricket Gear|Fossil|Maroon|Plastic,https://cdn.example.com/products/prod-bfc121a2.jpg,2023-12-31 16:24:47,2024-04-21 16:24:47
38,Zara Heels Navy 42,Cut yet paper education yourself first discussion why leader well activity.,Zara,Footwear,Heels,54579.02,INR,10,49121.12,0,2754,5548597812620,ZAR-FOO-000038,PROD-3123BCF9,Navy,42,Polyester,16.42,140.7,88.6,35.0,1.5,13518,In Stock,Bryant-Saunders,Japan,18,Footwear|Heels|Zara|Navy|Polyester,https://cdn.example.com/products/prod-3123bcf9.jpg,2022-07-22 09:42:05,2023-05-07 09:42:05
39,Calvin Klein Textbooks White XXL,Hit probably gun life provide notice star me late present business actually opportunity decide.,Calvin Klein,Books & Stationery,Textbooks,25024.92,EUR,20,20019.94,0,4946,3948450100321,CAL-BOO-000039,PROD-FF299A81,White,XXL,Cotton,14.91,194.3,64.0,15.9,4.6,5753,Limited Stock,Walker Group,Bangladesh,0,Books & Stationery|Textbooks|Calvin Klein|White|Cotton,https://cdn.example.com/products/prod-ff299a81.jpg,2022-07-22 04:46:33,2023-06-10 04:46:33
40,Lenovo Badminton Beige XL,Thousand they pay garden not its month other nation join central some company way wide result forward defense prepare.,Lenovo,Sports & Fitness,Badminton,74174.46,INR,10,66757.01,28,1145,6893240250571,LEN-SPO-000040,PROD-1CE79147,Beige,XL,Metal,10.47,178.6,96.2,91.2,3.8,4193,Pre-Order,"Olson, Martinez and Parker",Taiwan,24,Sports & Fitness|Badminton|Lenovo|Beige|Metal,https://cdn.example.com/products/prod-1ce79147.jpg,2023-06-03 06:56:43,2024-02-10 06:56:43
41,Decathlon Oral Care Pink 10,Tax country hair popular behind agree data exist now himself reality true own glass chance key.,Decathlon,Beauty & Health,Oral Care,83387.76,INR,30,58371.43,18,2254,2077239864718,DEC-BEA-000041,PROD-B00BD874,Pink,10,Metal,28.35,4.4,66.7,42.1,2.3,18849,Discontinued,"Johnson, Mcconnell and Evans",China,12,Beauty & Health|Oral Care|Decathlon|Pink|Metal,https://cdn.example.com/products/prod-b00bd874.jpg,2022-04-23 07:13:32,2023-02-09 07:13:32
42,Lenovo Boxing Gold 34,Quality place true successful medical sound reality feeling paper remember.,Lenovo,Sports & Fitness,Boxing,77789.0,INR,0,77789.0,12,3342,1844470047870,LEN-SPO-000042,PROD-7A490E50,Gold,34,Glass,4.55,8.9,109.2,46.5,2.4,12909,Limited Stock,Graves-Wallace,Japan,12,Sports & Fitness|Boxing|Lenovo|Gold|Glass,https://cdn.example.com/products/prod-7a490e50.jpg,2023-08-11 08:10:01,2024-05-20 08:10:01
43,Havells Fiction Maroon 36,Somebody traditional rest somebody lot question discuss at itself pull example police daughter party senior author.,Havells,Books & Stationery,Fiction,70595.14,EUR,20,56476.11,18,4256,6978822629270,HAV-BOO-000043,PROD-C5DB188B,Maroon,36,Wood,9.94,158.9,93.5,4.5,1.8,23738,Pre-Order,"Martinez, Johnson and Ward",Germany,12,Books & Stationery|Fiction|Havells|Maroon|Wood,https://cdn.example.com/products/prod-c5db188b.jpg,2023-11-20 10:02:15,2024-03-20 10:02:15
44,Canon Skincare Navy L,Worker about provide mind send yourself list quite knowledge wind street government find use pressure born.,Canon,Beauty & Health,Skincare,5955.35,INR,60,2382.14,18,3621,6893180683552,CAN-BEA-000044,PROD-4D755BD9,Navy,L,Rubber,15.67,87.4,52.8,46.0,1.3,4770,Out of Stock,Brown and Sons,USA,6,Beauty & Health|Skincare|Canon|Navy|Rubber,https://cdn.example.com/products/prod-4d755bd9.jpg,2022-07-20 09:01:37,2022-09-23 09:01:37
45,Tommy Hilfiger Mice Grey M,It speak government produce remember final quite statement true manager course coach hold role.,Tommy Hilfiger,Electronics,Mice,90112.77,INR,0,90112.77,0,4893,9062675754511,TOM-ELE-000045,PROD-BA0909B8,Grey,M,Polyester,1.19,6.5,148.2,2.7,1.1,24514,Pre-Order,"Wells, Roy and Simmons",Japan,12,Electronics|Mice|Tommy Hilfiger|Grey|Polyester,https://cdn.example.com/products/prod-ba0909b8.jpg,2022-03-11 18:15:13,2022-11-14 18:15:13
46,Titan Keyboards Blue M,Concern light model these plant eat similar discover age few become moment seek will organization of act case time nor style bad garden.,Titan,Electronics,Keyboards,9638.04,EUR,0,9638.04,28,1890,6930027322318,TIT-ELE-000046,PROD-017E95A6,Blue,M,Wool,2.41,140.2,79.7,57.2,2.9,11891,Limited Stock,Parker and Sons,Bangladesh,12,Electronics|Keyboards|Titan|Blue|Wool,https://cdn.example.com/products/prod-017e95a6.jpg,2024-03-12 09:52:05,2024-11-20 09:52:05
47,LG Remote Control Brown 10,Guess example wish beyond leg good camera member age throughout quickly product what avoid us morning laugh forward.,LG,Toys & Games,Remote Control,28108.9,INR,15,23892.57,12,2836,8149654013881,LG-TOY-000047,PROD-8B17CF58,Brown,10,Metal,4.11,109.0,74.2,3.7,2.4,4565,Discontinued,Thornton-Gonzales,India,12,Toys & Games|Remote Control|LG|Brown|Metal,https://cdn.example.com/products/prod-8b17cf58.jpg,2023-06-11 03:56:43,2023-09-14 03:56:43
48,Asus Sandals Red 6,Environmental right clearly able just research dog pressure court change join.,Asus,Footwear,Sandals,47906.69,INR,70,14372.01,0,1501,0043219782930,ASU-FOO-000048,PROD-BA9499CF,Red,6,Wool,19.33,75.5,109.2,42.5,3.0,16889,Discontinued,"Kane, Arnold and Hamilton",Italy,24,Footwear|Sandals|Asus|Red|Wool,https://cdn.example.com/products/prod-ba9499cf.jpg,2022-10-11 12:07:08,2023-01-27 12:07:08
49,Calvin Klein Helmets Beige 40,Anyone nor education Mrs how six future billion similar bag understand cup just.,Calvin Klein,Automotive,Helmets,96379.04,INR,25,72284.28,18,1919,0917562136460,CAL-AUT-000049,PROD-54DAC115,Beige,40,Glass,2.95,170.8,22.9,70.1,4.6,5009,Limited Stock,"Barrera, Garrett and Hernandez",Vietnam,18,Automotive|Helmets|Calvin Klein|Beige|Glass,https://cdn.example.com/products/prod-54dac115.jpg,2023-04-22 19:39:15,2023-08-05 19:39:15
50,Panasonic Makeup Pink M,Show area economic nice recent out edge small summer beautiful medical weight.,Panasonic,Beauty & Health,Makeup,10457.03,INR,5,9934.18,0,1744,7814222591221,PAN-BEA-000050,PROD-2E5718D9,Pink,M,Ceramic,13.98,99.0,52.6,31.9,1.4,175,Out of Stock,Owens-Jones,Italy,18,Beauty & Health|Makeup|Panasonic|Pink|Ceramic,https://cdn.example.com/products/prod-2e5718d9.jpg,2022-08-10 18:36:30,2023-01-01 18:36:30
51,Decathlon Lighting Rose Gold 30,More stuff later in couple behind share risk draw program or room account.,Decathlon,Home & Kitchen,Lighting,34711.79,INR,50,17355.9,12,2113,6127775067510,DEC-HOM-000051,PROD-1157438B,Rose Gold,30,Wool,13.41,13.2,111.3,82.6,3.3,639,Discontinued,"Davis, Miller and Martin",Japan,0,Home & Kitchen|Lighting|Decathlon|Rose Gold|Wool,https://cdn.example.com/products/prod-1157438b.jpg,2024-02-04 15:43:41,2024-07-17 15:43:41
52,Under Armour Car Accessories White 6,Let history sort tough other save reflect process local later.,Under Armour,Automotive,Car Accessories,63480.23,USD,40,38088.14,0,494,1267900371633,UND-AUT-000052,PROD-6D534FB5,White,6,Metal,9.81,68.2,83.0,89.3,1.2,3334,In Stock,Gonzalez-Harvey,Vietnam,36,Automotive|Car Accessories|Under Armour|White|Metal,https://cdn.example.com/products/prod-6d534fb5.jpg,2024-08-15 07:06:02,2025-07-08 07:06:02
53,Adidas Helmets Cyan One Size,Own measure community recently effect answer trouble claim executive artist type win window admit government.,Adidas,Automotive,Helmets,51195.05,INR,0,51195.05,5,3322,0246688518707,ADI-AUT-000053,PROD-43327A3C,Cyan,One Size,Nylon,28.06,177.6,22.0,99.4,4.1,2141,Limited Stock,"Chapman, Barry and Brown",Japan,12,Automotive|Helmets|Adidas|Cyan|Nylon,https://cdn.example.com/products/prod-43327a3c.jpg,2022-06-20 02:29:20,2023-05-09 02:29:20
54,Bata Notebooks Maroon XS,Democratic character across majority religious dog middle condition series participant notice design long project either poor.,Bata,Books & Stationery,Notebooks,68129.34,INR,0,68129.34,12,3068,3241360103384,BAT-BOO-000054,PROD-F8472B68,Maroon,XS,Linen,19.51,194.5,134.5,93.4,1.3,18565,Pre-Order,Hamilton Group,Taiwan,6,Books & Stationery|Notebooks|Bata|Maroon|Linen,https://cdn.example.com/products/prod-f8472b68.jpg,2022-05-10 21:17:07,2022-08-17 21:17:07
55,Prestige Sneakers Cyan 11,Serious number teach history around vote far yourself fall technology camera product practice another.,Prestige,Footwear,Sneakers,91155.67,INR,5,86597.89,12,3709,6165544691085,PRE-FOO-000055,PROD-F3827D5C,Cyan,11,Stainless Steel,26.73,129.9,15.0,97.0,3.1,22438,Out of Stock,Morales-Norton,Germany,36,Footwear|Sneakers|Prestige|Cyan|Stainless Steel,https://cdn.example.com/products/prod-f3827d5c.jpg,2022-08-18 16:23:01,2023-07-02 16:23:01
